Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr
ARI,30,3.34,.718,35,315,248,2892.0,1338,964,362,12,31,.991,16,7,18,8
ATL,39,4.09,.691,34,306,243,2814.0,1255,938,296,21,37,.983,9,4,2,0
BAL,34,5.77,.658,35,315,247,2814.0,1286,938,322,26,26,.980,-21,-9,-28,-12
BOS,28,3.66,.696,35,315,238,2892.0,1286,964,305,17,30,.987,14,6,-12,-5
CHC,31,3.97,.710,33,297,196,2742.0,1297,914,357,26,27,.980,13,6,15,1
CHW,33,5.64,.681,33,297,233,2664.0,1194,888,283,23,26,.981,-18,-8,-16,-7
CIN,34,5.39,.690,36,324,252,2868.0,1331,956,351,24,28,.982,-10,-4,11,1
CLE,32,4.40,.717,35,315,234,2901.0,1310,967,319,24,26,.982,10,4,14,1
COL,30,4.28,.703,36,324,263,2853.0,1309,951,344,14,32,.989,14,6,-7,-3
DET,31,4.63,.696,35,315,266,2811.0,1257,937,301,19,36,.985,-4,-2,-8,-1
HOU,27,2.82,.725,38,342,246,3063.0,1377,1021,343,13,29,.991,11,4,6,2
KCR,32,5.46,.685,35,315,267,2826.0,1292,942,333,17,28,.987,3,1,-15,-6
LAA,37,4.37,.694,35,315,235,2886.0,1310,962,333,15,35,.989,11,4,6,0
LAD,36,4.26,.684,35,315,210,2901.0,1300,967,314,19,25,.985,-2,-1,5,2
MIA,34,5.06,.695,35,315,218,2862.0,1261,954,289,18,26,.986,-6,-3,0,0
MIL,34,3.72,.713,36,324,229,2913.0,1336,971,338,27,30,.980,14,6,29,2
MIN,34,4.97,.685,32,288,219,2613.0,1161,871,269,21,23,.982,-12,-6,-5,-2
NYM,33,4.71,.687,34,306,230,2805.0,1251,935,297,19,20,.985,-9,-4,-16,-1
NYY,34,3.91,.693,35,315,255,2871.0,1257,957,274,26,18,.979,-8,-3,14,6
OAK,34,4.83,.688,36,324,261,2916.0,1365,972,370,23,25,.983,-10,-4,-9,-4
PHI,31,3.83,.696,35,315,244,2835.0,1289,945,318,26,34,.980,-3,-1,-24,-2
PIT,31,4.47,.693,36,324,257,2892.0,1322,964,339,19,33,.986,-4,-2,-9,-4
SDP,35,5.03,.666,37,333,254,2991.0,1381,997,359,25,30,.982,-5,-2,14,1
SEA,31,4.65,.686,34,306,243,2718.0,1204,906,281,17,29,.986,5,2,-11,-5
SFG,34,4.31,.698,36,324,243,2889.0,1342,963,350,29,42,.978,-4,-2,-2,-1
STL,34,3.79,.693,34,306,236,2847.0,1301,949,328,24,32,.982,3,1,11,5
TBR,32,4.39,.699,33,297,238,2658.0,1185,886,285,14,23,.988,11,5,5,0
TEX,33,5.47,.666,38,342,283,3051.0,1407,1017,357,33,40,.977,-13,-5,-1,0
TOR,35,4.69,.675,36,324,253,2880.0,1310,960,330,20,38,.985,-5,-2,1,1
WSN,35,3.92,.714,37,333,252,2997.0,1322,999,308,15,29,.989,-2,-1,-5,-2
LgAvg,33,4.46,.693,35,316,243,2856,1295,952,322,21,30,.984,0,0,,
,981,4.46,.693,1054,9486,7293,85665.0,38836,28555,9655,626,888,.984,-5,0,,