Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
ARI,16,29.5,3.34,24,11,.686,3.08,35,35,34,1,2,1,13,321.1,257,117,110,32,112,9,334,12,1,20,1316,140,3.53,1.148,7.2,0.9,3.1,9.4,2.98,235
ATL,22,28.2,4.09,20,14,.588,3.66,34,34,34,0,5,0,6,312.2,270,139,127,29,157,10,317,11,0,16,1338,108,3.93,1.366,7.8,0.8,4.5,9.1,2.02,261
BAL,16,28.4,5.77,8,27,.229,5.24,35,35,35,0,1,0,5,312.2,352,202,182,52,117,8,285,16,1,20,1395,81,4.77,1.500,10.1,1.5,3.4,8.2,2.44,255
BOS,14,28.8,3.66,25,10,.714,3.45,35,35,35,0,2,0,11,321.1,275,128,123,35,98,1,349,15,1,11,1326,133,3.45,1.161,7.7,1.0,2.7,9.8,3.56,234
CHC,17,30.3,3.97,18,15,.545,3.40,33,33,33,0,5,0,9,304.2,255,131,115,33,142,5,287,15,1,12,1298,120,4.23,1.303,7.5,1.0,4.2,8.5,2.02,253
CHW,18,28.5,5.64,9,24,.273,5.23,33,33,33,0,1,0,6,296.0,307,186,172,36,151,2,233,17,1,19,1330,82,4.87,1.547,9.3,1.1,4.6,7.1,1.54,256
CIN,20,26.9,5.39,9,27,.250,5.17,36,36,36,0,1,0,4,318.2,327,194,183,57,136,15,278,12,2,6,1403,79,5.03,1.453,9.2,1.6,3.8,7.9,2.04,253
CLE,17,30.0,4.40,17,18,.486,4.10,35,35,32,3,3,1,7,322.1,284,154,147,53,94,10,306,16,0,9,1344,113,4.42,1.173,7.9,1.5,2.6,8.5,3.26,223
COL,15,28.2,4.28,21,15,.583,4.15,36,36,36,0,4,0,15,317.0,278,154,146,35,121,3,311,10,1,16,1326,112,3.87,1.259,7.9,1.0,3.4,8.8,2.57,221
DET,18,28.6,4.63,15,20,.429,4.21,35,35,35,0,1,0,8,312.1,300,162,146,40,111,6,268,10,0,14,1328,108,4.27,1.316,8.6,1.2,3.2,7.7,2.41,229
HOU,14,30.1,2.82,23,15,.605,2.64,38,38,36,2,5,1,7,340.1,246,107,100,31,98,1,392,13,0,15,1348,149,3.01,1.011,6.5,0.8,2.6,10.4,4.00,220
KCR,18,28.8,5.46,12,23,.343,5.10,35,35,35,0,3,0,9,314.0,342,191,178,48,109,8,243,14,0,10,1383,88,4.77,1.436,9.8,1.4,3.1,7.0,2.23,250
LAA,21,27.7,4.37,21,14,.600,4.04,35,35,35,0,2,0,8,320.2,294,153,144,42,138,5,321,12,0,20,1372,106,4.26,1.347,8.3,1.2,3.9,9.0,2.33,257
LAD,20,29.5,4.26,15,20,.429,3.91,35,35,35,0,5,0,6,322.1,297,149,140,43,115,8,356,5,5,10,1364,99,3.80,1.278,8.3,1.2,3.2,9.9,3.10,248
MIA,19,27.8,5.06,13,22,.371,4.78,35,35,35,0,3,0,5,318.0,297,177,169,43,149,15,314,18,3,11,1391,77,4.51,1.403,8.4,1.2,4.2,8.9,2.11,260
MIL,19,29.1,3.72,21,15,.583,3.36,36,36,36,0,3,0,11,323.2,272,134,121,36,123,11,293,18,1,9,1352,123,4.10,1.220,7.6,1.0,3.4,8.1,2.38,247
MIN,20,29.3,4.97,15,17,.469,4.68,32,32,31,1,4,1,5,290.1,278,159,151,45,128,11,302,12,0,12,1268,93,4.54,1.398,8.6,1.4,4.0,9.4,2.36,238
NYM,18,28.4,4.71,18,16,.529,4.30,34,34,34,0,1,0,11,311.2,297,160,149,44,108,6,319,15,0,6,1331,90,4.13,1.299,8.6,1.3,3.1,9.2,2.95,236
NYY,17,28.6,3.91,25,10,.714,3.39,35,35,34,1,2,1,9,319.0,261,137,120,30,104,1,369,10,1,21,1323,133,3.14,1.144,7.4,0.8,2.9,10.4,3.55,229
OAK,19,28.6,4.83,18,18,.500,4.33,36,36,35,1,2,1,6,324.0,326,174,156,45,91,6,282,12,1,27,1377,98,4.17,1.287,9.1,1.3,2.5,7.8,3.10,231
PHI,19,26.9,3.83,20,15,.571,3.51,35,35,35,0,4,0,8,315.0,270,134,123,29,119,11,306,15,1,14,1316,112,3.69,1.235,7.7,0.8,3.4,8.7,2.57,237
PIT,17,26.9,4.47,20,16,.556,4.17,36,36,35,1,6,1,7,321.1,303,161,149,36,114,8,292,10,2,30,1366,95,3.95,1.298,8.5,1.0,3.2,8.2,2.56,241
SDP,19,28.6,5.03,13,24,.351,4.44,37,37,37,0,1,0,9,332.1,326,186,164,33,148,6,336,10,0,8,1451,86,3.85,1.426,8.8,0.9,4.0,9.1,2.27,268
SEA,17,28.7,4.65,20,14,.588,4.68,34,34,33,1,2,1,13,302.0,290,158,157,49,106,2,318,21,1,16,1297,90,4.42,1.311,8.6,1.5,3.2,9.5,3.00,233
SFG,19,29.0,4.31,19,17,.528,3.93,36,36,36,0,3,0,9,321.0,293,155,140,32,126,5,266,12,1,5,1364,100,4.08,1.305,8.2,0.9,3.5,7.5,2.11,246
STL,19,27.7,3.79,20,14,.588,3.39,34,34,34,0,1,0,9,316.1,289,129,119,27,122,7,280,22,2,16,1357,114,3.86,1.299,8.2,0.8,3.5,8.0,2.30,279
TBR,18,27.2,4.39,15,18,.455,4.11,33,33,33,0,0,0,7,295.1,269,145,135,32,104,6,283,15,1,12,1252,100,3.86,1.263,8.2,1.0,3.2,8.6,2.72,221
TEX,16,31.4,5.47,14,24,.368,4.99,38,38,38,0,0,0,9,339.0,372,208,188,52,120,2,283,28,4,14,1511,94,4.79,1.451,9.9,1.4,3.2,7.5,2.36,286
TOR,17,30.1,4.69,19,17,.528,4.47,36,36,36,0,0,0,10,320.0,326,169,159,47,128,1,304,17,2,14,1394,101,4.52,1.419,9.2,1.3,3.6,8.6,2.38,265
WSN,17,31.1,3.92,20,17,.541,3.62,37,37,36,1,3,1,9,333.0,269,145,134,41,110,8,367,15,1,12,1362,111,3.68,1.138,7.3,1.1,3.0,9.9,3.34,218
LgAvg,18,28.8,4.46,18,18,.500,4.11,35,35,35,0,,,8,317,294,157,145,40,120,7,306,14,1,14,1353,102,4.11,1.305,8.3,1.1,3.4,8.7,2.55,244
,532,28.8,4.46,527,527,.500,4.11,1054,1054,1042,12,,,251,9518.1,8822,4698,4347,1187,3599,197,9194,428,34,425,40583,102,4.11,1.305,8.3,1.1,3.4,8.7,2.55,7330